,gene_y
25,BMD_RS00120
44,BMD_RS00250
49,BMD_RS13605
57,BMD_RS00300
76,BMD_RS10495
99,BMD_RS00510
114,BMD_RS18470
117,BMD_RS00580
124,BMD_RS00615
127,BMD_RS00630
163,BMD_RS00810
191,BMD_RS04370
219,BMD_RS23590
510,BMD_RS05200
511,BMD_RS08640
655,BMD_RS02850
796,BMD_RS24255
798,BMD_RS18495
882,BMD_RS07375
885,BMD_RS07370
962,BMD_RS09770
1001,BMD_RS25755
1002,BMD_RS25755
1003,BMD_RS25755
1042,BMD_RS05165
1085,BMD_RS11800
1086,BMD_RS24895
1087,BMD_RS09375
1089,BMD_RS04750
1090,BMD_RS11990
1092,BMD_RS11980
1109,BMD_RS03290
1110,BMD_RS16975
1111,BMD_RS03290
1112,BMD_RS16975
1113,BMD_RS03290
1114,BMD_RS16975
1222,BMD_RS13630
1328,BMD_RS01150
1337,BMD_RS02485
1349,BMD_RS16375
1350,BMD_RS08315
1351,BMD_RS08315
1359,BMD_RS16530
1360,BMD_RS18475
1370,BMD_RS15970
1385,BMD_RS03930
1388,BMD_RS03930
1470,BMD_RS18810
1473,BMD_RS16390
1474,BMD_RS24355
1515,BMD_RS01240
1612,BMD_RS01300
1750,BMD_RS05750
1772,BMD_RS12225
1825,BMD_RS01805
1832,BMD_RS05690
1849,BMD_RS01850
1860,BMD_RS01915
1935,BMD_RS25895
1951,BMD_RS01985
1971,BMD_RS02005
1972,BMD_RS08730
1980,BMD_RS02065
1998,BMD_RS11440
2136,BMD_RS18030
2195,BMD_RS25760
2199,BMD_RS11815
2262,BMD_RS03185
2273,BMD_RS03215
2320,BMD_RS03325
2357,BMD_RS03490
2436,BMD_RS26775
2437,BMD_RS09855
2438,BMD_RS11635
2440,BMD_RS26775
2441,BMD_RS09855
2442,BMD_RS11635
2448,BMD_RS12735
2500,BMD_RS04020
2517,BMD_RS10820
2538,BMD_RS01590
2619,BMD_RS06140
2628,BMD_RS18930
2635,BMD_RS19240
2642,BMD_RS06345
2670,BMD_RS04065
2672,BMD_RS04065
2673,BMD_RS04070
2692,BMD_RS06470
2703,BMD_RS06525
2708,BMD_RS06550
2729,BMD_RS20790
2763,BMD_RS20615
2764,BMD_RS20610
2771,BMD_RS20585
2797,BMD_RS20490
2854,BMD_RS20335
2869,BMD_RS20255
2878,BMD_RS20205
2880,BMD_RS20190
2881,BMD_RS20185
2886,BMD_RS20155
2894,BMD_RS20115
2943,BMD_RS19880
2955,BMD_RS19815
2965,BMD_RS15555
2976,BMD_RS19810
3020,BMD_RS10425
3023,BMD_RS19725
3029,BMD_RS19685
3031,BMD_RS19675
3034,BMD_RS12395
3041,BMD_RS12365
3042,BMD_RS12355
3043,BMD_RS04515
3045,BMD_RS12345
3055,BMD_RS07200
3059,BMD_RS12920
3074,BMD_RS01495
3143,BMD_RS07160
3148,BMD_RS04595
3149,BMD_RS10845
3150,BMD_RS10725
3167,BMD_RS09590
3200,BMD_RS19460
3229,BMD_RS02420
3230,BMD_RS07580
3231,BMD_RS18220
3232,BMD_RS18275
3234,BMD_RS02420
3235,BMD_RS07580
3236,BMD_RS18220
3237,BMD_RS18275
3281,BMD_RS07000
3288,BMD_RS06950
3291,BMD_RS04565
3320,BMD_RS06685
3322,BMD_RS06680
3329,BMD_RS20830
3348,BMD_RS20920
3372,BMD_RS21040
3381,BMD_RS04415
3391,BMD_RS21120
3392,BMD_RS21125
3406,BMD_RS10835
3450,BMD_RS21280
3451,BMD_RS21285
3489,BMD_RS21410
3491,BMD_RS01545
3514,BMD_RS21490
3535,BMD_RS21545
3536,BMD_RS21550
3543,BMD_RS21580
3549,BMD_RS21610
3554,BMD_RS21630
3559,BMD_RS21650
3566,BMD_RS21690
3598,BMD_RS21865
3613,BMD_RS21940
3623,BMD_RS26295
3628,BMD_RS22005
3642,BMD_RS22080
3658,BMD_RS22155
3667,BMD_RS03725
3668,BMD_RS15855
3670,BMD_RS26580
3692,BMD_RS16220
3693,BMD_RS16235
3695,BMD_RS16230
3697,BMD_RS16260
3698,BMD_RS18725
3699,BMD_RS16900
3707,BMD_RS13970
3788,BMD_RS22380
3793,BMD_RS22400
3799,BMD_RS22425
3816,BMD_RS22500
3866,BMD_RS22765
3898,BMD_RS12820
3950,BMD_RS23050
3974,BMD_RS23210
3977,BMD_RS23230
3988,BMD_RS23270
4002,BMD_RS23365
4037,BMD_RS23480
4052,BMD_RS23490
4055,BMD_RS23505
4063,BMD_RS23545
4065,BMD_RS23550
4067,BMD_RS23560
4075,BMD_RS23605
4079,BMD_RS26330
4117,BMD_RS19280
4123,BMD_RS11390
4126,BMD_RS11390
4174,BMD_RS01750
4176,BMD_RS01740
4183,BMD_RS24025
4187,BMD_RS24040
4189,BMD_RS07825
4209,BMD_RS24165
4217,BMD_RS25865
4222,BMD_RS26250
4228,BMD_RS01770
4234,BMD_RS06935
4235,BMD_RS11485
4248,BMD_RS11220
4267,BMD_RS26345
4303,BMD_RS10390
4304,BMD_RS16440
4334,BMD_RS05995
4344,BMD_RS07455
4350,BMD_RS15080
4351,BMD_RS18435
4382,BMD_RS24585
4385,BMD_RS24595
4401,BMD_RS05365
4436,BMD_RS05340
4438,BMD_RS05335
4525,BMD_RS25015
4552,BMD_RS25150
4573,BMD_RS25215
4578,BMD_RS25235
4582,BMD_RS10175
4583,BMD_RS25250
4590,BMD_RS19385
4611,BMD_RS03920
4617,BMD_RS10230
4628,BMD_RS11155
4634,BMD_RS08040
4636,BMD_RS12845
4643,BMD_RS03775
4645,BMD_RS19050
4654,BMD_RS18850
4668,BMD_RS11575
4679,BMD_RS03285
4707,BMD_RS25590
4715,BMD_RS25630
